entre, between
arn, arn
armure, armor
amante, lover
acceptable, acceptable
vivres, rations
vicieux, vicious
veillait, watched
vanina, vanina
tordu, twisted
tomates, tomatoes
superphosphate, superphosphate
stratégiques, strategic
sphères, spheres
souhait, wish
signifiant, meaning
sénateur, senator
sautait, jump
satin, satin
revêtir, take
répétitions, repetitions
réciprocité, reciprocity
réalisent, realize
pue, stinks
publicitaire, Advertising
posaient, posed
perfectionnements, improvements
parvenue, reached
parlerai, speak
orlando, orlando
oriental, Oriental
obligatoires, Required
nourris, fed
nommait, called
négligemment, carelessly
mosaïque, mosaic
minutieusement, thoroughly
matériellement, materially
kilomètre, kilometer
interrogea, asked
indifférents, indifferent
indienne, Indian
incidence, impact
imprévisibles, unpredictable
hurlement, howl
humus, humus
gisements, deposits
gamine, girl
fossés, ditches
facture, invoice
exécutés, executed
enzymes, enzymes
ennemie, enemy
emprunte, borrows
divisée, divided
dérouler, unroll
déroulait, place
défunt, late
déclenche, triggers
curiosités, curiosities
cheveu, hair
bergère, shepherdess
bénéficiaires, beneficiaries
beautés, beauties
banquiers, Bankers
avalé, swallowed
attentifs, attentive
arrangeait, arranged
annales, annals
ampoules, bulbs
ambulance, ambulance
agitaient, waved
aéronautique, aerospace
acquiert, acquires
absurdes, absurd
vaille, worth
urbanisation, urbanization
transforment, transform
tempêtes, storms
tempe, temple
tac, tac
surgissent, arise
sessions, sessions
rigides, rigid
riemann, riemann
regrettait, sorry
refusent, refuse
protégeait, protected
prédominance, predominance
prague, prague
potassium, potassium
permirent, allowed
périphériques, devices
pensionnaires, residents
passes, passes
ouvrez, open
orifice, hole
orale, Oral
naïvement, naively
montées, mounted
monseigneur, Bishop
mignon, cute
métaphore, metaphor
mathilde, mathilde
maternelles, maternal
loupe, magnifying glass
livrent, deliver
lancés, launched
lamentable, lamentable
irréversible, irreversible
infaillible, infallible
inégalités, inequalities
grandement, greatly
gonfle, swells
gênant, embarrassing
forgé, forged
flaubert, flaubert
fatalement, inevitably
fabrications, manufacturing
exerçait, exercised
ethniques, ethnic
escorte, escort
dessinée, Comic
desbaresdes, Desbaresdes
dérober, steal
dénomination, denomination
découpage, cutting
conscients, aware
confitures, jams
circonscriptions, constituencies
chantal, chantal
câbles, cables
bougre, bugger
avantageux, advantageous
associe, combines
archaïque, archaic
appellation, designation
apollon, Apollo
amena, brought
admettait, admitted
adaptée, adapted
absurdité, absurdity
abstraites, abstract
val, val
tunique, tunic
traînées, trails
traînée, drag
taillée, cut
suggéré, suggested
sillons, furrows
sentimental, sentimental
semelle, sole
scientifiquement, scientifically
samazelle, Samazelle
salades, salads
remboursement, reimbursement
réfléchis, reflected
promettre, promise
poussés, pushed
planque, stash
percée, breakthrough
pathologie, pathology
particularité, feature
parte, parte
partagent, share
orbites, orbits
nettoyage, cleaning
nausée, nausea
moisson, harvest
masculin, male
manifestait, manifested
jument, mare
jacob, jacob
intégral, integral
inégale, uneven
imagines, imagine
héroïne, heroin
hérésie, heresy
habillés, dressed
gouvernementale, government
gentils, nice
généralités, general
fréquenter, frequent
fée, fairy
favorisé, favored
esthétiques, aesthetic
enregistré, recorded
embryon, embryo
devinrent, became
désirable, desirable
deçà, below
débute, begins
débauche, debauchery
craignant, fearing
conjonction, conjunction
complété, completed
chiffons, rags
chanté, sung
chandelle, candle
bobines, coils
beauce, beauce
bauer, bauer
balcons, balconies
authentiques, authentic
amazone, amazon
allongement, elongation
agacé, annoyed
adoptées, adopted
abriter, shelter
voulus, desired
vida, vida
turandot, turandot
tuileries, tile
territoriale, Territorial
térésa, Teresa
surveillait, watching
supprime, deletes
suarez, suarez
ski, ski
séparant, separating
revoyait, was reviewing
restons, remain
résout, solves
répercussions, impact
renfort, reinforcement
remplacée, replaced
recouvrait, covered
psychiatre, psychiatrist
pressant, pressing
préparatifs, preparations
positives, positive
perplexe, perplexed
paulo, paulo
passager, passenger
offres, offers
morose, morose
longe, loin
lacunes, gaps
juvénile, juvenile
insurrection, insurgency
imaginant, imagining
hongrie, Hungary
grimpe, climbs
frissons, chills
fourrés, thickets
exquis, exquisite
essayai, tried
duvet, fluff
discontinuité, discontinuity
dictée, dictated
dangereusement, perilously
cynisme, cynicism
coquillages, shells
consistant, consisting
confirmée, confirmed
chaudière, boiler
cartable, schoolbag
buis, boxwood
blesser, hurt
biche, doe
barbu, bearded
artificielles, artificial
articulations, joints
arrachait, tore
approuver, approve
animer, animate
abruti, jerk
werther, Werther
vulnérable, vulnerable
viandes, meat
unissent, unite
tourment, torment
supprimé, deleted
stupéfait, amazed
spontanéité, spontaneity
sirènes, sirens
sentie, felt
satisfactions, satisfactions
sandwich, sandwich
répression, repression
reparti, left
renseignement, Intelligence
relier, link
recrutés, recruited
rappellent, recall
protégée, protected
posture, posture
postale, Post
portières, doors
plaisante, pleasant
plaignait, complained
paroisse, parish
pardonnez, Forgive
offices, Offices
mortels, fatal
meurs, die
mauriac, mauriac
magistrats, magistrates
lin, flax
laplace, laplace
justifiée, justified
instances, instances
inséparable, inseparable
impérieuse, compelling
impatiente, impatient
hymne, anthem
glacial, glacial
gènes, genes
figaro, figaro
fièrement, proudly
ficelles, strings
familières, familiar
enveloppait, enveloped
entrevu, glimpsed
enferme, encloses
discute, discusses
dérivées, derived
départementales, departmental
danube, Danube
cultiver, cultivate
condensation, condensation
comprises, included
communique, communicates
coloniale, colonial
centralisation, centralization
célébrer, celebrate
causalité, causality
boxe, boxing
bébert, Bebert
barthélemy, barthélemy
baissée, down
arêtes, edges
approchée, approximated
appelles, call
ana, ana
allumage, ignition
affirment, say
accablé, overwhelmed
vieillissement, aging
unie, united
tracés, plots
torlu, Torlu
tâtons, groping
systématiques, systematic
sportive, Sports
spécifiquement, specifically
soupçonne, suspect
romaines, Roman
rigole, channel
revienne, back
reprennent, resume
reprends, resume
renommée, renown
remontée, ascent
relie, links
rebelle, rebel
qualitative, qualitative
plantations, plantations
pâturages, pastures
paisibles, peaceful
odette, odette
municipalités, Municipalities
ministérielle, Ministerial
martyre, martyrdom
marraine, godmother
magnitude, magnitude
julia, julia
jugée, considered
joséphine, Josephine
initiés, Insiders
ingénieux, ingenious
impératrice, empress
immédiats, immediate
huîtres, oysters
hormis, except for
hémisphère, hemisphere
grades, grades
gowan, gowan
glaise, clay
fuyait, leaking
fournissait, provided
expliquant, explaining
expérimentalement, experimentally
expéditions, shipments
essayez, try
entraînée, driven
entonnoir, funnel
dotés, with
doctorat, Ph.D.
dévorer, devour
destructions, destruction
dépourvus, without
dépourvue, no
départementale, Departmental
débouché, outlet
concerts, concerts
cadet, cadet
bourgeoises, bourgeois
bergers, shepherds
banalité, banality
bals, balls
attendue, expected
arrangements, arrangements
arbitrairement, arbitrarily
antenne, antenna
aldo, aldo
affectée, affected
absorbe, absorbs
visuelle, visual
vexé, upset
trouée, gap
tièdes, warm
syndicales, union
soumet, submitted
souffrent, suffer
souffles, blasts
sottise, stupidity
révélations, revelations
résolue, resolved
résistant, resistant
résigner, resign
répand, spreads
regroupement, grouping
rapportent, relate
proteste, protests
profita, advantage
préférais, preferred
prédécesseurs, predecessors
poux, lice
polémique, controversy
pleurant, crying
plaçait, placed
phénoménologie, phenomenology
périphérique, peripheral
pénibles, painful
paralysé, paralyzed
oxyde, oxide
oise, oise
oedipe, Oedipus
minerais, minerals
microbes, microbes
mammouth, mammoth
maintenait, maintained
jupiter, Jupiter
intersection, intersection
inquiétudes, concerns
imite, mimics
identifie, identifies
horreurs, horrors
hâter, hasten
hardi, bold
gonzesse, chick
fatigués, tired
examina, examined
entropie, entropy
emploient, employ
effectuent, perform
disposées, arranged
die, die
correspondantes, corresponding
corpuscules, corpuscles
contester, challenge
communale, communal
carnets, books
capitulation, surrender
balançant, swinging
attribués, assigned
attira, attracted
articulaires, joint
alignés, aligned
agressif, aggressive
actrice, actress
voulions, wanted
visière, visor
vanter, boast
thermiques, thermal
suspecte, suspect
spéculations, Speculation
siffle, whistles
séculaire, secular
scepticisme, skepticism
ruisseaux, streams
rendis, went
réfraction, refraction
recouvrir, cover
rappelez, remember
rame, train
ralliement, rally
rafale, gust
prophètes, Prophets
prévention, prevention
permanentes, permanent
péripéties, adventures
perdaient, lost
paysannes, Peasant
pathologique, pathological
pansement, dressing
orfèvres, goldsmiths
ordonnances, orders
offrande, offering
muzil, Muzil
moraux, moral
monastère, monastery
mendiant, beggar
menant, leading
mao, mao
lustres, chandeliers
livrés, delivered
léré, Lere
lauriers, laurels
insensé, foolish
indiquent, indicate
grès, sandstone
golf, golf
gil, gil
froissement, creasing
froideur, coldness
fournissant, providing
finissaient, ended
escale, stop
enfonça, thrust
empara, seized
doublement, doubly
dominent, dominate
documentaires, documentary
détachant, remover
critiquer, criticize
coussin, cushion
coulisses, wings
contemporaines, Contemporary
constructeur, builder
complets, complete
ciné, cine
cherchons, seek
chanteurs, singers
châle, shawl
chabotte, anvil
brumes, mists
bide, bomb
bénéficie, benefits
baissés, lowered
baies, bays
aspire, sucks
ardoise, slate
agitée, agitated
accompagnant, accompanying
accéléré, accelerated
vilaine, ugly
vierges, virgin
verticalement, vertically
valets, Jacks
tome, volume
temporel, temporal
tarzan, Tarzan
tartine, slice
tarde, soon
sulfate, sulfate
succède, succeeds
styles, styles
spéculation, speculation
solennellement, solemnly
sirop, syrup
sexuelles, sexual
sente, feel
savante, scholarly
sandales, sandals
ruses, tricks
rivalité, rivalry
repoussant, repulsive
réparations, repairs
piqûre, sting
patriotes, Patriots
passif, passive
paranormaux, paranormal
palace, luxury hotel
originales, original
orateur, speaker
montbrun, montbrun
livide, livid
lévy, Levy
kirilov, kirilov
itinéraires, routes
interrogé, questioned
implicite, implicit
homo, homo
hiérarchique, hierarchical
hamid, hamid
haïr, hate
gîte, gite
géantes, Giant
fondant, melting
faîte, top
fabrizio, fabrizio
engagent, undertake
doubler, double
dommages, damage
distinct, separate
détourné, roundabout
croiser, cross
constants, constant
conférer, confer
caressa, stroked
calvaire, calvary
calculée, calculated
braque, hound
boyau, gut
arrondi, round
apprête, ready
affectueux, affectionate
accusés, accused
transmissions, transmissions
thyroïde, thyroid
terminait, ended
soulevée, raised
sondages, polls
sire, sire
royales, Royal
roulent, roll
résulter, result
restaurer, restore
résisté, resisted
remplacés, replaced
redoute, redoubt
réciter, recite
rappelles, remember
qualifier, qualify
prononçait, pronounced
promouvoir, promote
polaires, polar
performances, performance
orgue, organ
navette, shuttle
minutieuse, careful
mignonne, cute
mercerie, haberdashery
mauves, purple
lulu, lulu
lucarne, skylight
libéraux, Liberals
lézard, lizard
légendaire, legendary
ldi, ldi
intelligents, intelligent
inexplicable, inexplicable
illustré, illustrated
gigantesques, gigantic
exploit, feat
expiration, expiry
exotiques, exotic
enregistre, records
engageait, committed
durables, sustainable
dualité, duality
diplomates, diplomats
désertes, deserted
criminels, Criminals
créait, created
consommé, consumed
coma, coma
brutes, Raw
bouchée, bite
attendons, expect
arrêtez, stop
arbitraires, arbitrary
animés, animated
anecdotes, Anecdotes
aies, hast
affecte, affects
usée, worn
traîtres, traitors
trac, stage fright
tournés, turned
totaux, total
superposition, superposition
succéder, succeed
savoie, Savoy
sainteté, holiness
rivages, shores
renvoi, reference
regagna, returned
quotidiennement, daily
purée, puree
pressent, press
préoccupe, concern
prénoms, names
postulat, postulate
pinceaux, Brushes
pelouses, Lawns
passeport, passport
panthéon, pantheon
orthodoxe, orthodox
oranges, oranges
nuire, harm
noué, knotted
nef, nave
mondiales, global
minville, Minville
meure, dies
lugubre, gloomy
lazare, lazare
kléber, Kleber
jets, jets
irremplaçable, irreplaceable
invitée, invited
inconcevable, inconceivable
illuminé, illuminated
hospitalier, hospital
grisaille, gray
giselle, giselle
gestapo, gestapo
géraldine, géraldine
génial, great
gémir, groan
feinte, feint
famine, famine
estimé, estimated
dîners, dinners
déterminations, determinations
détachait, detached
descendus, down
défensive, defensive
décidait, decided
danois, Danish
croyants, Believers
considéra, considered
combiner, combine
cliquetis, rattle
chut, hush
caucase, Caucasus
cargo, cargo
bûcher, pyre
bis, bis
bavarde, talkative
attarder, linger
attachait, attached
arrêtées, arrested
arrachée, torn
aragon, aragon
approfondir, deepen
anomalies, abnormalities
visité, visited
véranda, veranda
trompée, deceived
trimestre, quarter
sourcil, eyebrow
révélateur, revealing
réorganisation, reorganization
renversement, reversal
rejetée, rejected
ravages, ravages
provoquait, caused
produisit, produced
primordial, primary
prestigieux, prestigious
posément, calmly
pinard, plonk
perruque, wig
ornée, decorated
originaire, native
lunaire, lunar
libérales, liberal
leibniz, Leibniz
lattes, slats
lancement, launching
jungle, jungle
isolément, in isolation
involontaire, involuntary
introduisant, introducing
inspirés, inspired
impuissant, powerless
imprimer, print
hésitations, hesitations
galère, galley
fret, freight
fournies, provided
favori, favorite
facettes, facets
emporta, carried
dramatiques, dramatic
demoiselles, Misses
croisière, cruise
criminelle, criminal
coordonner, coordinate
complètes, complete
compartiments, compartments
colonial, colonial
cogner, knock
cliché, cliche
clerc, clerk
chronologie, chronology
chantage, blackmail
censé, supposed
cafard, cockroach
bulletins, newsletters
azotés, nitrogenous
arrivons, arrive
arche, ark
anticipation, anticipation
annuellement, annually
amortissement, amortization
allah, Allah
agglomérations, settlements
accordés, granted
aboutissant, leading
abdoul, abdoul
abaisser, lower
vertébrés, vertebrates
sémantique, semantic
rigidité, rigidity
réunissent, meet
rendra, will
rende, makes
regardons, look
rectangulaire, rectangular
réalisant, performing
rayonnements, radiation
ration, ration
rangea, ranged
quittés, left
pétales, petals
persistance, persistence
penchés, examined
paranormale, Paranormal
obscène, obscene
neutralité, neutrality
naquit, was born
ministériels, Corporate
marceline, marceline
macro, macro
lâches, Loose
investir, invest
insomnie, insomnia
insistait, insisted
infectieuses, Infectious
indifféremment, indifferently
ignoré, unknown
idéologique, ideological
hodkann, hodkann
harmonieux, harmonious
halo, halo
fraude, fraud
fondent, based
fondations, foundations
féminins, female
examiné, examined
enveloppée, wrapped
empruntés, borrowed
eiffel, eiffel
dumas, dumas
dôme, dome
distraite, distracted
diplomate, diplomat
descendue, down
dépouillé, bare
dany, dany
curieuses, curious
curie, curie
croisa, crossed
cote, odds
connaisse, know
clown, Clown
cime, top
carriole, cart
caroline, caroline
camping, camping
bulle, bubble
bâtisse, building
allongea, stretched
accélérer, accelerate
vraisemblance, likelihood
volumineux, bulky
unions, Unions
ultérieure, later
sensualité, sensuality
rio, rio
régie, governed
ralentir, slow down
raisin, grapes
plaça, placed
pinces, pliers
niche, niche
mouiller, wet
médiation, mediation
ligue, league
invoquer, invoke
hélice, propeller
gant, glove
fascisme, fascism
crucifix, crucifix
baroque, baroque
bach, bach
apaisement, appeasement
affective, emotional
adaptées, adapted
acheta, bought
tortue, turtle
tic, tic
récupération, recovery
quanta, quanta
pend, hanging
olive, olive
mie, crumb
messager, messenger
garanti, guaranteed
gage, pledge
fâché, angry
excité, excited
dépenser, spend
costaud, beefy
consulté, consulted
consommations, consumption
commandée, commissioned
capot, hood
beige, beige
babeth, babeth
autorisés, authorized
audition, hearing
valence, valence
repli, fold
reçois, get
placement, investment
opposant, opponent
mineure, minor
menteur, liar
jardinier, gardener
effrayante, scary
découragement, discouragement
décorations, decorations
commerçant, merchant
assume, assumes
antan, yesteryear
alliée, ally
affirmations, statements
usa, USA
tartines, toast
spirituelles, spiritual
puzzle, puzzle
proposent, offer
promet, promises
pavillons, pavilions
oasis, oasis
mens, mens
mât, mast
lièvre, hare
incendies, Fire
gastrique, gastric
excédent, surplus
errant, wandering
embrayage, clutch
dialogues, dialogues
détruite, destroyed
corruption, corruption
cerises, cherries
avancés, Advanced
audacieux, bold
agneau, lamb
volants, Flying
trompette, trumpet
tablette, shelf
stabilisation, stabilization
sortira, out
silex, flint
richelieu, richelieu
queues, tails
nomades, nomadic
monologue, monologue
mate, matt
just, just
ive, ive
inversion, inversion
grenoble, grenoble
frime, sham
fâcheux, untoward
exploitant, exploiting
employeur, employer
dynamiques, dynamic
bergson, Bergson
atlas, atlas
apparat, pageantry
agressive, aggressive
aéroport, airport
accessoire, accessory
accessibles, accessible
académies, Academies
traversaient, crossing
touffe, tuft
tertiaire, tertiary
portugais, Portuguese
perse, Persian
parasite, parasite
pantoufles, slippers
orteils, toes
nouveautés, new
moutarde, mustard
libye, Libya
graphiques, graphics
feed, feed
enthousiaste, enthusiastic
entamer, start
crustacés, crustaceans
artek, artek
vannes, valves
trompettes, trumpets
simplifier, simplify
sauvegarde, safeguard
raccourci, shortcut
prospection, prospecting
propulsion, propulsion
préférée, favorite
portier, porter
pitoyable, pitiful
perroquet, parrot
mussolini, mussolini
mortier, mortar
méfiant, suspicious
jouée, played
inclus, included
girls, girls
gains, earnings
envoyée, sent
déçue, disappointed
courbé, curved
cavernes, Caverns
casques, helmets
bières, beers
balayer, sweep
avancées, advanced
augmentent, increase
arrivées, Arrivals
actionnaires, shareholders
ver, worm
suspendre, suspend
sportifs, sports
rugby, rugby
revenais, returned
résineux, resinous
pilules, pills
pilotes, pilot
molotov, molotov
meute, pack
idole, idol
gagnant, winner
eugénie, eugenics
dominée, dominated
désolée, sorry
compatible, compatible
cimes, peaks
champignon, mushroom
câble, cable
boulet, drag
borné, limited
athlète, athlete
verdi, verdi
veilleuse, night light
terroir, local
tam, tom
stockage, storage
pancarte, placard
ouvertures, overtures
osseux, bony
orientales, Eastern
municipalité, municipality
littoral, coastline
hypocrite, hypocrite
fendre, split
compétitions, competitions
comblé, filled
bûches, logs
antennes, antennas
adoration, worship
abolition, abolition
tablettes, shelves
suc, juice
souterrains, Underground
précédant, before
partez, go
palestine, Palestine
oignon, onion
néon, neon
magazine, magazine
java, Java
garce, bitch
gamelle, mess kit
fromages, cheese
envol, flight
dollar, dollar
distribués, distributed
dirons, say
conventionnel, conventional
conditionnement, packaging
concorde, concord
colorés, colored
coffret, case
chronologique, chronological
cauchemars, nightmares
bruno, bruno
borgne, one-eyed
alinéa, paragraph
agressivité, aggressiveness
adverse, adverse
suivais, followed
strauss, strauss
stop, stop
sandra, sandra
racheter, redeem
prît, took
pompier, fireman
polie, polished
pilier, pillar
parchemin, parchment
numériques, digital
microscopique, microscopic
invincible, invincible
divertissement, entertainment
damien, damien
cran, guts
cigares, Cigars
carapace, shell
beaumont, beaumont
amusée, fun
alignement, alignment
aix, aix
affranchir, free
abbaye, abbey
votes, votes
viol, rape
vînt, came
transit, transit
sculptures, sculptures
sade, sade
revinrent, returned
républicain, republican
rayé, striped
raser, raze
piquant, spicy
palette, palette
mutisme, mutism
iras, go
girondins, Girondin
fusillade, shooting
flasque, flabby
consultatif, advisory
constitutionnelle, Constitutional
colorées, colored
carottes, carrots
bouillir, boil
baptisé, christened
apéritif, aperitif
animateurs, Facilitators
ancre, anchor
agacement, annoyance
abris, shelters
veuves, widows
vendeur, seller
trouvaille, find
triangulaire, triangular
tchad, Chad
satan, Satan
radioactivité, radioactivity
provisoires, Provisional
pauline, pauline
oxford, oxford
musicales, musical
honorer, honor
hongrois, Hungarian
grippe, flu
flocons, flakes
express, express
entourer, surround
darwin, darwin
cultes, cults
culs, ass
cuisinier, cook
collant, tights
clandestine, illegal
carburant, fuel
belleville, belleville
batteries, batteries
attentat, attempt
attelage, hitch
asphalte, asphalt
ajoutez, add
aida, helped
agnès, agnès
adorable, adorable
vicomte, viscount
ukraine, Ukraine
tilleul, linden
star, star
satisfaits, satisfied
résine, resin
reportage, report
pupitre, desk
pleuvoir, rain
militant, activist
maxime, maxim
latins, Latin
hortensia, hydrangea
exciter, excite
digestif, digestive
composant, component
boudin, flange
blason, coat of arms
astrologie, astrology
ahuri, bewildered
accouchement, delivery
accommoder, accommodate
abba, abba
toiture, roofing
textile, textile
rustique, rustic
ressentie, felt
rémy, rémy
pouces, inches
pointé, dotted
périgord, périgord
paramètres, parameters
nutrition, nutrition
nourritures, foods
murmures, murmurs
marlon, marlon
los, los
judiciaires, judicial
hirondelles, Swallows
fondateurs, founders
détaillé, detailed
dessinateur, designer
crocs, fangs
convertir, convert
colombe, dove
boulangerie, bakery
variant, variant
transposition, transposition
tampon, buffer
sereine, serene
ring, ring
remorque, trailer
phosphore, phosphorus
pâtissier, confectioner
paillasse, pallet
méconnaître, ignore
lou, lou
houille, coal
hans, hans
fugue, fugue
fournitures, supplies
escadre, Wing
cravates, ties
comté, county
célia, célia
canot, boat
came, cam
aménager, develop
acceptant, accepting
vrac, Bulk
virgile, Virgil
vendeurs, sellers
tulle, tulle
spontanées, Spontaneous
puni, punished
proue, bow
offerts, offered
killy, killy
judaïsme, Judaism
district, district
dirent, said
cubisme, cubism
congo, Congo
coke, coke
cohue, crowd
clandestin, clandestine
chèque, check
cachent, hide
aimions, love
achetait, bought
vitamines, Vitamins
tissage, weaving
syndrome, syndrome
routière, Road
publicitaires, Advertising
prélude, prelude
polonaise, Polish
orfèvre, goldsmith
morue, cod
monumental, monumental
mitraillette, submachine gun
mgr, mgr
mehdi, mehdi
lavande, lavender
johnny, johnny
fonctionnel, functional
excite, excites
demandera, ask
colette, colette
brown, brown
basque, Basque
bahut, chest
baba, baba
amende, fine
aliment, food
vodka, vodka
toulon, toulon
tailles, sizes
rondins, log
raisins, grapes
radar, radar
pharmacien, pharmacist
permets, allows
moustiques, mosquitoes
miguel, miguel
maturation, maturation
masquer, hide
manuelle, Manual
livraisons, deliveries
italiennes, Italian
frayeur, fear
fiançailles, engagement
exotique, exotic
découper, cut
cyril, cyril
constellation, constellation
cols, passes
colombes, Doves
casseroles, pans
buter, stumble
ambre, amber
adresses, addresses
abattoirs, slaughterhouses
vaccin, vaccine
trombe, waterspout
ticket, ticket
rouages, workings
revenez, back
réjouir, rejoice
regrettable, regrettable
puissions, can
poursuivaient, continued
pipes, pipes
levées, lifted
laurier, laurel
francisco, francisco
fleuri, flowery
esther, esther
espadrilles, sneakers
dogme, dogma
crêpe, pancake
compatibles, compatible
compact, compact
claqué, slammed
campement, camp
blues, blues
biographie, biography
barré, barred
auréole, halo
acuité, acuity
vétérinaire, veterinary
und, und
technologie, technology
short, shorts
roulettes, wheels
obstiné, obstinate
nacre, nacre
matrice, matrix
masculine, male
maine, Maine
magnétisme, magnetism
loyer, rent
lierre, ivy
insertion, insertion
guillotine, guillotine
fleuriste, florist
dessinées, drawn
dare, Dare
conformité, compliance
classé, classified
citadelle, citadel
chalet, chalet
ambigu, ambiguous
allocation, allocation
affecter, affect
unitaire, unitary
toni, toni
suivez, follow
sites, Sites
segment, segment
rênes, reins
questionnaire, questionnaire
pyramides, pyramids
ornement, ornament
music, music
moulins, mills
millimètres, millimeters
liturgie, liturgy
impressionnant, impressive
grosseur, size
gouvernante, governess
fissures, cracks
fifi, fifi
dotée, with
distributions, distributions
distinctions, distinctions
croque, undertaker
coureurs, Runners
compteur, counter
célibataire, single
carnaval, carnival
bourgeons, buds
baronne, baroness
balade, ride
ammoniaque, ammonia
transactions, transactions
tentés, tempted
taxis, Taxis
sympa, nice
solidaires, solidarity
schneider, schneider
sceptique, skeptical
rituelle, ritual
renonçant, renouncing
nébuleuse, nebula
migration, migration
mater, watch
maille, stitch
gladys, gladys
frigo, fridge
cygne, swan
coupole, cupola
cliente, client
clavier, keyboard
casiers, lockers
cachet, stamp
butin, booty
bouclier, shield
bosses, bumps
absorbée, absorbed
zurich, zurich
vingtième, twentieth
uniques, Unique
sachez, Know
roulette, roulette
réservait, reserved
réconfort, comfort
racontes, talking
orthographe, spelling
odile, odile
meule, grindstone
marseillaise, Marseille
marqueterie, marquetry
inséparables, inseparable
inciter, encourage
heu, hours
fermentation, fermentation
favoris, Favorites
expédier, send
diront, say
demanderait, require
cristalline, crystalline
coquette, coquette
commençai, began
china, china
brodé, Embroidered
box, box
bouchées, blocked
bled, bled
bibelots, trinkets
aident, help
aguets, watch
admettent, admit
achetée, purchased
trouvions, find
rodrigo, rodrigo
radieux, radiant
rabat, flap
prérogatives, prerogatives
popularité, popularity
pochette, wallet
pluriel, plural
parlerait, speak
parfumé, scented
locataire, tenant
isole, isolates
gratuitement, free of charge
glauque, glaucous
fraises, strawberries
dérivé, derivative
citation, quote
bourre, wad
boivent, drink
apprendra, learn
angelo, angelo
admettons, admit
accentuer, accentuate
aberration, aberration
vocable, term
victorieuse, victorious
sucré, sweet
spatiale, Space
sotte, stupid
sauvegarder, save
satellite, satellite
prochaines, next
oscar, Oscar
olympiques, Olympic
musiques, music
minima, Minimum
matisse, matisse
kid, kid
illimitée, unlimited
illico, illico
gironde, gironde
enlèvement, removal
encouragement, encouragement
ecclésiastique, ecclesiastical
disiez, say
cornet, horn
colliers, necklaces
bancaire, banking
ballons, balloons
artisanale, artisanal
anvers, antwerp
ampère, ampere
amélioré, improved
abonnés, Subscribers
vendeuse, seller
traverses, ties
ravissante, lovely
rapporteur, rapporteur
ram, ram
prendrai, take
plain, plain
oublierai, forget
nono, nono
nationalités, nationalities
mondaine, worldly
micheline, micheline
melon, melon
manipulation, manipulation
insulter, insult
grossesse, pregnancy
grenouilles, frogs
contrôleur, controller
continuèrent, continued
choir, fall
bienvenue, Welcome
bienfaits, benefits
araignées, spiders
anormale, abnormal
adjonction, addition
zut, heck
traversèrent, crossed
tomate, tomato
tilleuls, linden
simultanée, simultaneous
rayures, scratches
plancton, plankton
paranormal, paranormal
panorama, panorama
mandats, mandates
lécher, lick
illumination, illumination
hou, hou
filiation, filiation
exclus, excluded
emplir, fill
edmond, edmond
doudou, blanket
décoller, take off
crasseux, filthy
conjoint, joint
comparé, compared
colosse, colossus
colorée, colorful
bridge, bridge
appelais, called
annonces, ads
amendement, amendment
abuser, abuse
street, street
sportives, sports
socrate, socrates
servis, served
serve, serve
sers, serve
salé, salt
poses, poses
portions, portions
park, park
mésange, tit
jones, jones
ineffable, ineffable
impuissante, powerless
garantit, guarantees
frise, frieze
frémir, shudder
ferry, ferry
corniche, cornice
cimetières, cemeteries
buvaient, drank
bagues, rings
autoriser, authorize
apercevais, saw
analysé, tested
ajustement, adjustment
ajoutée, added
yves, yves
varsovie, warsaw
tramway, streetcar
stella, stella
sonorité, sonority
sanguin, blood
recommande, recommends
radium, radium
prospectus, prospectus
préviens, warn
oie, goose
montreuil, montreuil
momo, momo
maryse, maryse
laurence, laurence
iront, will
insigne, badge
inoubliable, unforgettable
fichier, file
disposons, have
déviation, deviation
dégoûtant, disgusting
débattre, discuss
crapaud, toad
convocation, convocation
compas, compass
cocher, check
canadienne, Canadian
cachot, dungeon
bruges, bruges
bienheureux, blissful
bénéficiaire, beneficiary
beethoven, beethoven
bassine, basin
barbara, barbara
asiatique, Asian
ammoniac, ammonia
young, young
villeneuve, villeneuve
via, via
saphir, sapphire
roulés, rolled
rater, miss
rabbin, rabbi
poursuites, proceedings
meublé, furnished
mentionné, mentioned
mélanie, Melanie
mannequin, model
majors, Majors
latérale, lateral
ion, ion
illimité, unlimited
festival, festival
fesse, buttock
feriez, would make
enclume, anvil
distractions, distractions
détendre, relax
commodes, convenient
chili, chili
carl, carl
atteignaient, reached
approches, approaches
verrais, would see
trappe, hatch
torrents, torrents
sortirait, emerge
rubriques, sections
rôti, roast
reconstruire, reconstruct
prendront, will
pliant, folding
plafonds, ceilings
panache, plume
orties, nettles
mathieu, mathieu
majeurs, major
jane, jane
grimm, grimm
fourche, fork
envies, desires
copier, copy
contredire, contradict
continuez, go on
clovis, clovis
cloud, cloud
cheikh, Sheikh
affectif, affective
affaiblissement, weakening
accoutumée, usual
utilitaire, utility
transatlantique, transatlantic
thunderbird, thunderbird
théo, theo
tango, tango
superstition, superstition
superbes, beautiful
sortais, went out
sologne, sologne
saumon, salmon
préférez, prefer
pouviez, could
obsédé, obsessed
nombril, navel
fiscal, tax
dépouillement, counting
cosmos, cosmos
coran, Koran
chaussons, slippers
champions, Champions
caméra, camera
bouillante, boiling
bistrots, pubs
aquarelle, watercolor
anatomique, anatomical
