qué what
chismes gossip
nell nell
impresionar impress
interferir interfere
conectar connect
tutor tutor
arsenal arsenal
tires tires
aprieto fix
subtitulado subtitled
acontecimiento event
sueco Swedish
suero serum
sorda Deaf
morales moral
when when to
instructor instructor
cuyos which
enviará send
mississippi mississippi
walsh walsh
letal lethal
empleada employee
ingresar sign in
africa africa
sede headquarters
sudamerica South America
patrones patterns
andre andre
gasto spending
defiende defends
viajo travel
supera than
veterano veteran
populares Popular
besó kissed
cairo cairo
víspera eve
prometer promise
aurora dawn
comunicarse communicate
vírgenes virgin
gin gin
explosivo explosive
maquina machine
satán Satan
aficionados Fans
cucaracha cockroach
wanda wanda
continuemos continue
christina christina
maní peanut
virginidad virginity
formado formed
pisa Pisa
dormimos sleep
murciélago bat
betsy betsy
acabaría end
chow chow
amaré love
veteranos veterans
bronx bronx
amigable amicable
decorado decorated
sustituto substitute
extrema extreme
harley harley
soborno bribery
pistolero gunman
hope hope
comparte Share
abel Abel
paolo paolo
anotar annotate
elevador elevator
símbolos symbols
grady grady
cora cora
mamita Mommy
reemplazar replace
vals waltz
traed Bring
desarrollado developed
not not
coser sew
leía read
podés you can
karate karate
reduce reduces
envenenado poisoned
doblar fold
guardería Childcare
tocarte touch
detenidos detainees
racha streak
laberinto maze
alfredo Alfred
ofertas deals
munich Munich
producido produced
ganaba earned
benson benson
peluquería hairdressing
arranque start
patrullas patrols
inclusive inclusive
andrei andrei
deriva drift
united united
ternera veal
sardinas Sardines
cuadrado square
tammy tammy
astronauta astronaut
rich rich
gusten like
banderas flags
presidencial presidential
estrecho close
golpee strike
nacionales national
holden holden
toni toni
life life
ayudarán help
tocará touch
atraviesa through
bebas drink
exploradores Browsers
recientes Recent
dvd DVD
cristales crystals
mantas blankets
matrimonios marriages
cabellos hair
buey ox
marinos marine
occidente west
cuota share
recoja collect
sicilia Sicily
ahorrado saved
diecisiete seventeen
lópez Lopez
estadísticas statistics
corral corral
convoy convoy
ocultas hidden
acusada accused
filósofo philosopher
apasionado passionate
wagner wagner
repartir deal
candy candy
ciao ciao
fidelidad fidelity
reventar burst
frescos fresh
lujuria lust
lluvias rain
irónico ironic
ames love
veías you saw
mccoy mccoy
pegue paste
frodo frodo
ire ire
útiles tools
gladys gladys
gustaron liked
publicado published
duran last
robada stolen
troya Trojan
jode fuck
alquilado rented
presidencia presidency
cenicienta Cinderella
tazas cups
marlowe marlowe
pezones nipples
matarse kill
amores love
jade jade
cabalgar ride
happy happy
brooke brooke
okey okey
cumbre summit
arrojó showed
trapo cloth
tirada run
armando armando
quisieron wanted
lina lina
cogen catch
harbor harbor
sacos bags
darían would
ada ada
mandy mandy
comparar compare
nochebuena Christmas Eve
instalación installation
ametralladoras Guns
títulos securities
deliberadamente deliberately
sacarlos them out
prosperidad prosperity
edna edna
mexicanos Mexican
julius julius
tened count it
tinto red
pinche click
take take
pesas weights
quejarse complain
soporte support
clive clive
diviértanse have fun
tiffany tiffany
parecías seemed
crudo crude
merced favor
royal royal
analizar analyze
veréis will see
have Have
maine Maine
madrina godmother
inversiones investments
castle castle
inmensa immense
alienígenas Aliens
arquitectura architecture
estudió studied
karma karma
mamada suck
country country
mateo Matthew
distribución distribution
cebollas onions
chiquita little one
felipe felipe
record record
corrección correction
lima lime
dora dora
regina regina
corrido run
dormidos asleep
crystal crystal
damien damien
seminario seminar
estara will be
continuará continue
cucarachas cockroaches
cuevas caves
admiración admiration
infernal infernal
tour tour
kenneth kenneth
comunismo communism
crearon created
alec alec
bolos bowling
anzuelo hook
roman roman
lang lang
morada dwelling
atar tie
bin bin
oui oui
sudando sweating
directiva directive
ayudame help me
discusiones discussions
secretas secret
actuado acted
habremos we will
trajera bring
rap rap
bocadillo sandwich
davey davey
fascistas Fascists
jugaremos will play
milady lady
editorial editorial
socialista socialist
creerte believe you
willis willis
plantar plant
navegación navigation
confiesa confesses
jornada time
neumáticos tires
porro joint
celulares cellular
adivino soothsayer
arroja yields
asuste panic
orientación orientation
noruega Norwegian
chelsea chelsea
burbuja bubble
cartuchos Cartridges
rol role
chet chet
usaban used
topo mole
aburridos boring
tranvía tram
ironía irony
mon mon
cagada shit
joanna joanna
sushi Sushi
pecador sinner
bridge bridge
atlantic atlantic
hawkins hawkins
marcador marker
remo rowing
verdugo executioner
hot hot
tenedor fork
gelatina gelatin
nolan nolan
rayas stripes
pillar pillage
israelí Israeli
yen yen
relajarse relax
residentes residents
titulares holders
grey flock
pro pro
contestado answered
caminamos walk
garrett garrett
homicida murderer
europea European
resurrección Resurrection
montgomery montgomery
bolígrafo ballpoint
preferirías prefer
nalgas buttocks
conocerás know
igualdad equality
violado broken
intensa intense
detienen stop
pillo rascal
insistir insist
cain cain
klaus klaus
banana banana
visitarnos visit
recogido collected
norteamérica North America
redes networks
miriam miriam
ayudaba helped
sobrevive survives
contestas answer
vladimir vladimir
bancarrota bankruptcy
divertir entertain
jaque check
continuamos continue
monitor monitor
neutral neutral
bachillerato baccalaureate
plantado planted
mei mei
barbacoa barbecue
obtenido obtained
picasso picasso
molestas annoying
laguna lagoon
caracoles snails
preparativos preparations
fragmentos fragments
arrestados arrested
escombros debris
muslos thighs
exigente demanding
faltó Missed
africano African
sucesos events
pizca pinch
isabella isabella
capas layers
mini mini
liderazgo leadership
skip skip
severo severe
talones heels
ojala hopefully
tierna tender
playas beaches
volador flying
gibson gibson
cagado shit
reconstruir reconstruct
iraq iraq
asistentes Attendees
tazón bowl
vivieron lived
ranger ranger
definitivo final
knox knox
see see
apple apple
enterprise enterprise
canciller chancellor
quemada burned
paran stop
sebastián Sebastian
enfoque approach
song song
way way
viajeros Advice
flojo loose
axel axel
turquía Turkey
acabada finished
sirenas Sirens
verdaderas true
clavos cloves
violeta violet
brent Brent
ingles English
lanzas spears
ocurría occurred
abrigos coats
buffalo buffalo
mao mao
observador observer
comprueba checks
seguían were
cereales cereals
kirby kirby
whoo whoo
feos ugly
trayectoria trajectory
universidades universities
augusto august
burlando mocking
encuentros meetings
jinetes Riders
grifo tap
contaron counted
donnie donnie
christy christy
guardando keeping
quitan removed
cereza cherry
futuros futures
riñón kidney
fran fran
corregir correct
queráis ye
tributo tribute
relato story
moreno brown
tortilla tortilla
tocaste touched
garfield garfield
look look
org org
póliza policy
machos males
marine marine
limitado limited
astronautas Astronauts
jedi jedi
ivy ivy
sumo sumo
encerrar enclose
naranjas oranges
judith judith
ram RAM
sky sky
irresistible irresistible
tradiciones traditions
compraron bought
francotirador sniper
cerillas matches
jugué I played
ventilación ventilation
triunfar succeed
victima victim
flauta flute
dedicada dedicated
abiertamente openly
damon damon
jun June
seno breast
light light
alterada altered
corporal corporal
sufro suffer
soberano sovereign
russ russ
sangriento bloody
yes yes
arzobispo archbishop
espaciales space
yoga yoga
gala gala
fósforo phosphorus
liberal liberal
medir measure
duchas showers
vitaminas Vitamins
pinocho Pinocchio
municipal municipal
indiferente indifferent
sangrar bleed
apurado in a hurry
excitado excited
ariel ariel
permisos Permissions
ripley ripley
bronce bronze
columnas columns
índice index
utah Utah
oral oral
carbono carbon
cristina cristina
pamela pamela
patinar skate
barcelona Barcelona
solicita requests
vargas vargas
psicológico psychological
medico medical
portland portland
hip hip
cascos helmets
histórica historical
reverencia reverence
sudáfrica South Africa
construye builds
reflejos highlights
amistoso friendly
frescas fresh
gata cat
alcanzó reached
ganarle beat
acordar agree
courtney courtney
periodismo journalism
manager manager
proyección projection
porta holder
reflexionar reflect
clint clint
visible visible
cálculo calculation
electrónica electronics
unen together
gemela twin
israelíes Israeli
escriben write
laboral labor
esponja sponge
agencias agencies
burton burton
elegancia elegance
civilizado civilized
traería would
camerino dressing room
raja raja
despiertes wake up
correctas correct
impecable impeccable
emilio emilio
richards richards
beta beta
dinamarca Denmark
lili lili
ying ying
básica Basic
produjo produced
inspirado inspired
cordón cord
circunstancia circumstance
prejuicios prejudice
hablaría talk
bah bah
broche clip
composición composition
oigas hear
cause cause
leopardo leopard
reducido reduced
was WAS
how how
extremos ends
patines Skates
inaceptable unacceptable
canallas rogue
conejito bunny
concentrado concentrated
quisimos wanted
izzy izzy
grabaciones recordings
isabelle isabelle
puntas tips
osaka osaka
alison alison
gritan shout
rutas routes
riquezas wealth
incidentes incidents
europeos European
bye bye
pulsera bracelet
talentoso talented
divorciado divorced
necesiten need
corrupto corrupt
cheyenne cheyenne
cantantes singers
adopción adoption
mango handle
visitó visited
greta greta
bailarines dancers
siberia Siberia
créditos credits
natasha natasha
note note
lavarte wash
necesitarán need
fosa fossa
balance balance
ferrari ferrari
sánchez sanchez
nadine nadine
llore cry
cambiemos change
celeste celestial
oswald oswald
delegación delegation
mulas mules
sandwich sandwich
castro castro
bocina horn
colt colt
mezclado mixed
codicia greed
revelado revealed
sexta sixth
éxitos successes
roble oak
vuele fly
comerciantes traders
capullos buds
klein klein
espiar spy
yoko yoko
rivers rivers
freud freud
rafael rafael
jerome jerome
inscripción registration
sirviendo serving
reactor reactor
acantilado cliff
entendieron understood
nicola nicola
prado meadow
lateral lateral
manchester Manchester
webster webster
hunde sinks
espacios spaces
aceptaron accepted
hablarás speak
afectar affect
cafe coffee
scarlett scarlett
tate tate
who who
bean bean
enemiga enemy
madonna madonna
prepararse prepare
viajan travel
express express
puja bid
boletín bulletin
consultar consult
obligada required
mudanza move
demandar sue
camisetas t
usados used
siniestro sinister
suceso event
fantásticos fantastic
aviación aviation
logros achievements
compensación compensation
inmortalidad immortality
usaría would use
trabajaste worked
pretender claim
artística artistic
engañan deceive
agarrado caught
destructor destroyer
bea bea
agricultura agriculture
ursula ursula
chocó hit
gavin gavin
taco block
novatos novice
ases Aces
fenómenos phenomena
muchachito boy
bocadillos snacks
gen gene
shelby shelby
hyun hyun
sándwiches sandwiches
amoroso loving
preparamos prepare
redondo round
arabia arabia
stanford stanford
religiosos religious
wei wei
inspira inspires
perverso perverse
estacionar park
suspiro sigh
robe rob
marcia marcia
fueses you were
acertado right
dimitri dimitri
tacos blocks
esquiar ski
producen produce
noticiero news
poseer have
humildad humility
aliviar ease
leerla read
tornado tornado
yeso plaster
secos dry
tristán Tristan
dejalo leave it
hiroshima hiroshima
shaun shaun
peine comb
back back
decoración decoration
pinto pinto
uña nail
leonardo leonardo
motos Bikes
gerard gerard
rosemary rosemary
saltos jumps
invitaciones invitations
accionistas shareholders
old old
caribe Caribbean
zanahorias carrots
aprenden learning
dom Sun
marge marge
pandillas Gangs
actualidad present
parroquia parish
virtudes virtues
reinas Queens
intelectuales intellectual
daphne daphne
contaminación contamination
queen queen
azotea roof
tornillo screw
buitres Vultures
page page
portátil portable
estambul istanbul
inmigrantes immigrants
atentado attempt
procura seeks
ofende offends
lorraine lorraine
transformación transformation
rosario rosary
satélites satellites
let let
foco focus
rinde yields
casanova casanova
responden respond
utilizan used
corazonada hunch
secuestradores kidnappers
ringo ringo
tobillos ankles
gold gold
trabajaremos work
pronunciar pronounce
ídolo idol
caerse fall
cherry cherry
phyllis phyllis
peludo hairy
pitt pitt
pipí pee
cao cao
borrado erased
cash cash
pegamento glue
amarillos yellow
rin rin
continuó continued
terco stubborn
mejore improve
escupir spit
relacionados related
lesiones injuries
news news
brett brett
cat cat
pizzas pizzas
tarifa rate
ejercer exercise
magos Wizards
esmeralda emerald
mills mills
bendiciones blessings
arrojar throw
atenas Athens
coreano Korean
honey honey
sing sing
reacciones reactions
entretenido entertaining
características features
armamento armament
inquieto restless
seréis you will
beban drink
consultorio office
adele adele
cruzada crusade
aparcamiento parking
murio died
vegetal vegetable
grueso thick
mármol marble
dinosaurios Dinosaurs
lamentamos sorry
bryan bryan
peli movie
abandonaron left
planeo glide
encontrada found
sagrados sacred
preservar preserve
cecilia cecilia
deshacer undo
reforma reform
rogar pray
fibra fiber
callejero street
prefería preferred
basil basil
reportar report
singapur Singapore
summer summer
leas read
habria would have
jamas never
descargar download
invadir invade
calculado calculated
terciopelo velvet
want want
plegaria prayer
exhausto exhausted
conflictos conflicts
luc luc
capitalismo capitalism
cancela canceled
republicano republican
circular circular
genios geniuses
devon Devon
monica monica
kgb kgb
say say
cometas Comets
molestarla disturb
johan johan
enterrados buried
castor beaver
cleopatra cleopatra
cruzados Crusaders
lyle lyle
aprendas learn
tuberías pipes
panadería bakery
aldo aldo
bruselas Brussels
programación programming
comodidad comfort
primitivo primitive
empapado soggy
automóviles cars
salio came
creyente believer
pensáis think
foro forum
off off
monseñor Mgr
they They
tiger tiger
desempleo unemployment
acostumbrados used
especialistas specialists
gordas fat
puras pure
egipcios Egyptians
secundarios side
llamemos call
florencia Florence
clavado nailed
bono bond
grabadora recorder
muevete muevete
catálogo catalog
peleó fought
hidrógeno hydrogen
ofrecemos offer
alemanas German
entregarme surrender
beck beck
agarraron seized
alucinante hallucinatory
sweet sweet
horarios times
pacífica peaceful
decreto decree
fractura fracture
dad ity
demas other
sexualidad sexuality
prince prince
coral coral
carcel jail
impulsos pulse
abrazar embrace
mercurio mercury
cuelgues crashes
dudes dudes
masajes massage
valentine valentine
sabrina sabrina
hubiésemos we had
ajuste adjustment
gemelo twin
visa visa
hilos threads
tengáis ye
antorcha torch
anuncia announces
shepard shepard
zanahoria carrot
redacción drafting
obsequio gift
negarlo deny
subtitles subtitles
vegetales vegetables
amnesia amnesia
querrían would like
males ills
her her
sergio sergio
consciencia consciousness
postales Post
amarga bitter
actrices actresses
toronto toronto
taquilla ticket office
sudar sweat
reir laugh
vance vance
vainilla vanilla
pizarra slate
decenas tens
bloquear block
abu abu
aventón lift
zhao zhao
marian marian
arder burn
océanos oceans
trucha trout
llamaras you called
mera mere
apoyado supported
originalmente originally
celia celia
denis denis
investiga research
gretchen gretchen
alfombras Carpet
scofield scofield
right right
hoyos holes
dimensiones dimensions
recordando remembering
duende elf
fachada facade
tranquilas Quiet
wee wee
transición transition
arreglas fix
jovencitas girls
hanna hanna
subtitulada subtitled
condolencias condolences
cascada cascade
tropical tropical
snow snow
obtienes get
retener hold
erica erica
amplio wide
conservador conservative
dependiendo depending
dilema dilemma
escucharla listen
lulu lulu
here here
hiciéramos did
mallory mallory
darryl darryl
arrepentido sorry
culpas blame
victimas victims
transformar transform
moro Moor
espinas spines
diseños designs
western western
montreal montreal
parrilla grill
adoptado adopted
shin shin
heredera heiress
previo previous
escultura sculpture
giuseppe giuseppe
parcial partial
violada raped
ernesto ernesto
orlando orlando
eliza eliza
advertirle warn
espectáculos shows
sellos stamps
limpiaré cleanse
terrenos land
masculina male
obediencia obedience
jugaré I'll play
fabricante manufacturer
enojados angry
activos assets
samba samba
fish fish
activar activate
regalado given
acelerar accelerate
francesas French
fuesen were
montes mountains
sangra bleeding
embarque shipment
cisne swan
presentan have
limitada limited
jamaica Jamaica
solito alone
canten sing
discoteca disco
perritos Puppies
entrenados trained
diarrea diarrhea
aqu here
auschwitz auschwitz
dinastía dynasty
said said
compartirlo share
cincinnati cincinnati
kat kat
delhi Delhi
apocalipsis apocalypse
vincenzo vincenzo
karin karin
chiquito tiny
night night
longitud length
tirano tyrant
presenten present
acabara winding
umbral threshold
lavo wash
pepper pepper
preparan prepared
arrastrado dragged
empeño endeavor
mildred mildred
aproveche advantage
balazo shot
bryant bryant
joyería jewelry
whale whale
brothers brothers
alexandre alexandre
pedos farts
more more
warner warner
cabaret cabaret
vivienda dwelling
locamente madly
filo edge
noveno ninth
solitarios solitary
metálico metal
adolf adolf
piojos lice
jueguen play
acuario aquarium
cabos ends
bad bad
viviría live
swing swing
inmunidad immunity
orillas banks
recortes trimmings
instalado installed
turismo tourism
jodió fucked
bam bam
girl girl
chips chips
der der
fragmento fragment
llenó filled
vayáis you go
johann johann
run run
delegado delegate
clemencia clemency
mexicana Mexican
perezoso lazy
enigma enigma
instalar install
ocultos Hidden
pésame condolence
cuervos crows
cursos courses
there there
consiguiendo getting
series series
panorama panorama
llamabas name was
bloques blocks
transforma transforms
job job
ahogando drowning
feng Feng
tac tac
falls falls
ignorantes ignorant
interminable endless
actuales current
departamentos departments
yankee Yankee
hut hut
siervo serf
moribundo dying
end end
never never
polar polar
anhelo longing
castigados punished
magnifico magnificent
querré love you
colombia Colombia
atletas athletes
hueca hollow
pedirá asked
esposos husbands
baratas cheap
boys boys
pegaste you hit
residente resident
supieron knew
preparatoria school
obama obama
hyde hyde
cambiara change
recuperó recovered
necesitáis you need
anónimo anonymous
preciosidad preciousness
vistos seen
horrores horrors
adicción addiction
díaz díaz
seducir seduce
mareo dizziness
cazas fighters
abordo board
marlene marlene
hai Are
graciosos funny
minnie minnie
faltas faults
agudo acute
egipcio Egyptian
causan cause
curvas curves
cocinas kitchens
bélgica Belgium
faldas skirts
instituciones institutions
lara lara
pescando fishing
gabe gabe
desafiar challenge
paranoia paranoia
ganes win
revancha revenge
iras anger
evitado avoided
exploración exploration
coyote coyote
marruecos Morocco
salada salt
portugués Portuguese
recompensas rewards
melvin melvin
anular void
folleto brochure
charlas talks
castaño brown
librado delivered
prototipo prototype
torcido crooked
xavier xavier
cotton cotton
lex lex
pija prick
wellington wellington
esteban esteban
vega vega
cenicero ashtray
chivo kid
tic tic
divertidas fun
pulgada inch
microondas microwave oven
camarones shrimp
cordones cords
mercados markets
perdoname forgive
liverpool Liverpool
wilder wilder
pijamas pajamas
neill neill
lider leader
rituales rituals
recetas recipes
corporaciones corporations
escribirlo write
autoestima self-esteem
anarquía anarchy
soleado sunny
josef josef
angelito cherub
divisiones divisions
garden garden
doctorado doctorate
solucionado solved
mandato mandate
tempestad storm
guiar guide
renacimiento revival
perdonadme Pardon
bernardo Bernard
lean read
receso break
tibia tibia
fuere whatever
regional regional
pelearon fought
recuento count
tailandia thailand
lavando washing
morado purple
fabio fabio
ámsterdam AMSTERDAM
talbot talbot
elimina eliminates
norton norton
mangas Sleeves
pegaron hit
chun chun
cangrejos crabs
apurate hurry up
tacones heels
barbie Barbie
súbditos subjects
compartido shared
trixie trixie
evangelio gospel
playboy playboy
janice janice
jugaste played
aprendizaje learning
importado imported
severa severe
propietarios proprietary
pegando pasting
manto mantle
balboa balboa
perú Peru
colada wash
sueltas Loose
fang fang
cecil cecil
holocausto holocaust
existo I am
celo zeal
estocolmo Stockholm
lagarto lizard
court court
ritchie ritchie
ezra ezra
correctos correct
tortugas turtles
himmler HIMMLER
cox cox
influencias influences
considerada considered
sublime sublime
costos costs
garra claw
pulpo octopus
dakota dakota
matemática mathematical
gringo gringo
arrecife reef
stevenson stevenson
nah nah
javier Xavier
famosas famous
fijaos look you
forzada forced
servida served
bromista joker
peluche Teddy
zelanda Zealand
milly milly
abortar abort
infantiles Children
inquilinos Renters
protegen protect
porcelana porcelain
sanidad health
donar donate
monton lot
zombi zombie
town town
laden laden
dedicar devote
algas algae
intolerable intolerable
méjico Mexico
lagos lakes
arriesga risk
avances advances
ciro Cyrus
jerez sherry
ofensivo offensive
escribieron wrote
estatura height
invitamos invite
hiciese hiciese
fulano So-
ambulante walking
guionista screenwriter
atropellado hit
almacenes stores
energia energy
syd syd
nenas girls
imposibles impossible
atencion attention
fogata bonfire
national national
arrastrar drag
policias police
pésima bad
lechuga lettuce
brutalidad brutality
amsterdam amsterdam
cactus cactus
mirame Look at me
prender turn on
annette annette
torturado tortured
alterar alter
delantero front
pantera panther
pendejos assholes
publica published
encaje lace
parques parks
hum hum
estomago stomach
bbc bbc
liberty Liberty
uva grape
adversario adversary
alimentación feeding
continental continental
trance trance
clienta client
tolerancia tolerance
nan nan
escribimos write
zodiaco Zodiac
belgrado belgrade
múltiple multiple
adquirir purchase
satisfechos satisfied
moss moss
fairfax fairfax
preciado valued
cerda sow
britney britney
hipnosis hypnosis
pirámides pyramids
marfil ivory
provincias provinces
hector hector
villanos Villains
camara camera
akira akira
sheldon sheldon
cerezas cherries
zurdo southpaw
ordenadores computers
jovenes young
presentará present
asociado associated
hablaras talking
cloaca sewer
especia spice
filtro filter
geoff geoff
educar educate
directorio directory
dictadura dictatorship
candado padlock
gps gps
pony pony
aparecía appeared
dragon dragon
ollie ollie
falsificación forgery
powers powers
votantes voters
descargado discharged
maldicion Curse
analista analyst
beirut beirut
hermosura loveliness
africanos African
escasez shortage
bellezas beauties
interiores interior
palmas palms
disgusto disgust
poderosas powerful
abigail abigail
bajaron down
víboras snakes
link link
brandt brandt
becker becker
bikini bikini
arrugas wrinkles
saquemos Let's get
transformado converted
films films
mágicas magic
alza rise
actuaba acted
varones Males
hungría Hungary
qui qui
calcular calculate
shore shore
horn horn
pip pip
duane duane
ticket ticket
voluntaria voluntary
marrones brown
omega omega
escritas written
pegada punch
embustero liar
accidental accidental
actúe act
subconsciente subconscious
capucha hood
portugal Portugal
tostada toast
transmite transmitted
arreglarme fix
abbott abbott
mutante mutant
homosexualidad homosexuality
vivirán live
borra deletes
acercar close
golpeaba beat
maternidad maternity
académico academic
lucifer Lucifer
hebreo Hebrew
popularidad popularity
muriel muriel
palestinos Palestinians
mesero waiter
autores authors
llantas tires
manifestantes protesters
urgentemente urgently
separan separate
ahorro saving
sindicatos unions
etiquetas Labels
diamond diamond
curry curry
lomo back
shea shea
marcy marcy
micky micky
suzy suzy
vaga vague
chisme gadget
duendes Elves
espectro spectrum
tiradores shooters
argelia algeria
gale gale
regalito gift
county county
eddy eddy
afro African
dardo dart
plateado silver
tratados treated
arcilla clay
interrumpido discontinued
húngaro Hungarian
permanecen remain
abusar abuse
demuestran show
jonah jonah
manipular manipulate
pegan stick
hayáis you have
farley farley
kms kms
galaxias galaxies
flaca Skinny
compás compass
jasmine jasmine
disney disney
mart mart
gitana Gypsy
peters peters
lung lung
venció beat
paradas stops
pera pear
ahoga drowning
vegetariano vegetarian
berkeley berkeley
intriga intrigue
restaurant restaurant
contenedor container
arrestos arrests
habitacion room
katy katy
hussein hussein
creeme believe me
rubias blondes
tuberculosis tuberculosis
criticar criticize
rápidas fast
plástica plastics
garage garage
wesley wesley
parche patch
head head
alexis alexis
afeitado shave
festín feast
exclusivo exclusive
imaginarse imagine
imprenta printing
filipinas Philippine
cantamos sing
luca luca
epa epa
rain rain
olvidalo forget it
llévale Take her
realizó performed
ruleta roulette
babilonia Babylon
asociados associated
shows shows
memo memo
blanquito whitey
fluido fluid
tendencias tendencies
trimestre quarter
emitir issue
abandonados abandoned
mujercita mujercita
exclusivamente exclusively
honda sling
sacramento sacrament
aburridas boring
vip vip
galán beau
frecuente frequent
habias Had you
dre dre
romero rosemary
supervisión supervision
dominique dominique
transparente transparent
raquel raquel
siria Syria
latino Latin
hawaii hawaii
debilidades weaknesses
mezquita mosque
baterista drummer
elegimos we choose
exponer expose
conquistado taken
patrimonio heritage
transportes transportation
eclipse eclipse
pinzas tweezers
completado completed
micro micro
justine justine
soja soy
pervertidos perverts
presumir presume
censura censorship
apretón grip
repleto full
estéis ye
admira admires
sugerencias suggestions
beneficencia charity
volará fly
irían would
reg List
pañal diaper
lecturas readings
sediento thirsty
indiferencia indifference
patrona employer
lucho Fight
ludwig ludwig
ale ale
razas races
vertical vertical
universitaria university
enfrentamiento confrontation
mordida bite
milenio millennium
sauna sauna
lona canvas
ofrenda offering
marcó marked
merecer merit
esquí ski
oporto port
edwin edwin
pepe pepe
bloom bloom
stefan stefan
elton elton
universitarios university
expansión expansion
geisha geisha
modernas modern
enfado anger
chusma rabble
nieves snow
enfermar sicken
protestas protests
blade blade
master master's degree
pancho pancho
evitando avoiding
estaria would be
retratos Pictures
verías would see
traerán bring
principiante beginner
hectáreas hectares
felicia felicia
guitarrista guitarist
conocieras knew
cocino cook
manuela manuela
hacker hacker
cadete cadet
aposentos quarters
vigor vigor
golosinas candies
picar sting
amiguita girlfriend
brujo warlock
barranco ravine
copiar copy
invite invite
bronca anger
comentar comment
occidentales Western
crecimos grew up
ejecutiva executive
alexandra alexandra
jacuzzi jacuzzi
peliculas Movies
carita face
carly carly
cositas tidbits
entusiasta enthusiastic
supiese knew
amazonas Amazon
cyrus cyrus
arrepentimiento repentance
pelado bare
bambi bambi
audio audio
shrek shrek
contribuir contribute
introducir introduce
islandia Iceland
nemo nemo
comienzos beginning
asaltos assaults
titanic titanic
rangers Rangers
samir samir
about About
protegidos protected
recuperando recovering
permitan permit
cook cook
carnal carnal
estructuras structures
cuidate cuidate
aseguró said
trasto utensil
pose pose
panadero baker
coleccionista collector
vena vein
decíamos we said
cascabel bell
rolling rolling
clifford clifford
textos texts
alf alf
decadencia decline
sartén pan
propósitos purposes
wild wild
situacion situation
rambo rambo
side side
diecinueve nineteen
cam cam
confirmó confirmed
senadores Senators
vivientes living
rufus rufus
sacarán will draw
colón colon
aluminio aluminum
admisión admission
esgrima fencing
royce royce
monto amount
delicia delight
aprendo learn
asombra amazing
erupción eruption
impredecible unpredictable
wisconsin Wisconsin
anal anal
calorías calories
she she
principe Prince
budapest budapest
disparate blunder
confesiones confessions
rusas Russian
group group
introducción introduction
acerqué approached
contienen containing
diseñar design
animación animation
bmw bmw
latidos beats
élite elite
hazaña feat
huí I fled
lillian lillian
bombones chocolates
afecte affect
dino dino
proximo next
marcelo marcelo
fausto splendor
admitido acknowledged
accesorios accessories
jaime jaime
nelly nelly
intestinos bowels
jugadas plays
demandante applicant
recomienda recommended
deb deb
pediremos ask
aparente apparent
reparación repair
errante wandering
jose jose
surgir arise
kyoto kyoto
bonjour bonjour
patrañas hoaxes
octava octave
bat bat
necesitara need
seymour seymour
entrevistar interview
puma puma
comunitario Community
celebridades celebrities
efectiva effective
muralla wall
gozo joy
financiar finance
moran dwell
chavales kids
prestada provided
complacido pleased
jala pulls
calavera skull
jaguar jaguar
adicionales additional
swan swan
mamà momma
cory cory
credenciales credentials
apenado sorry
odioso hateful
vanguardia vanguard
entregarte surrender
casilla box
cócteles Cocktails
hallo am
oiste you heard
gandhi gandhi
faith faith
katrina katrina
conocidas known
desconectado offline
furiosos furious
llene fill
anunciado announced
cabalgando riding
curly curly
irritante irritating
beatriz beatriz
hilary hilary
trey trey
estaréis you will be
rush rush
estatales State
preparadas prepared
desarrolla develops
establece sets
electoral electoral
arrastrando dragging
tanaka tanaka
pepino cucumber
zumbido hum
amateur amateur
cuelgan hang
veronica veronica
tell tell
penitencia penance
sombrío dark
aislada isolated
consiguiente consequent
modas fashion
traviesa sleeper
complicadas complicated
armarios cabinets
hoover hoover
anatomía anatomy
ness ness
ingrid ingrid
soluciones solutions
casillero locker
vlad vlad
amargado embittered
arteria artery
area area
estaras you will be
ampliar enlarge
funda cover
bulto package
animar encourage
buscador seeker
mangos mangos
nómina roster
bolsos bags
pope pope
abandonan leave
compradores Buyers
exagerar exaggerate
crónica chronicle
cuidan care
básicas basic
aplicación application
cane cane
subida rise
lil lil
arrastró dragged
bloquea blocks
reclamo claim
sonará sound
scouts Scouts
alfabeto alphabet
inseguro unsafe
welles welles
zen Zen
salvatore salvatore
facial facial
apagón blackout
melancolía melancholy
fundador founder
costura sewing
arrestó arrested
jubilado retired
trastorno disorder
posar pose
rector rector
buceo diving
platillo dish
especias spices
agarran grab
mentor mentor
bee bee
hopper hopper
silvia silvia
mayday mayday
venado deer
quemados burned
caminó walked
arrestada arrested
islam Islam
reservar book
solemne solemn
procurador attorney
apunte note
jockey jockey
mezquino mean
robby robby
rendimiento performance
kai kai
magnitud magnitude
paisajes scenery
aguda acute
espectador viewer
putita whore
espiritu spirit
great great
recital recital
homo homo
biológico biological
cubanos Cuban
traducir translate
resentimiento resentment
pedacito bit
factores factors
carpeta folder
nova nova
kimberly kimberly
sandalias sandals
cancion Lyrics
marioneta puppet
insignificantes insignificant
rodrigo rodrigo
cantado sung
bollos buns
jaulas cages
diversiones entertainment
monique monique
chuletas chops
poe poe
torturas torture
insomnio insomnia
calzado footwear
men Men
episodios episodes
beau beau
eliot eliot
manten keep
latina latin
abatido depressed
decisivo decisive
atrevida bold
azufre sulfur
erais you were
orquídeas Orchids
distancias distances
abraza embraces
